region,legal_dong_code,housing_type,trade_type,trade_month,price_or_deposit_won,monthly_rent_won,exclusive_area_m2,floor,built_year,normalized_basis
서울 마포구 아현동,1144010100,오피스텔,전세,2025-12,265000000,0,29.8,8,2019,최근 1~2년 유사거래
서울 마포구 아현동,1144010100,오피스텔,전세,2025-10,252000000,0,30.4,11,2018,최근 1~2년 유사거래
서울 마포구 아현동,1144010100,오피스텔,매매,2025-11,392000000,0,29.8,8,2019,최근 1~2년 유사거래
서울 마포구 아현동,1144010100,오피스텔,매매,2025-07,381000000,0,30.1,10,2018,최근 1~2년 유사거래
서울 강서구 화곡동,1150010300,연립다세대,전세,2025-12,218000000,0,42.1,4,2016,최근 1~2년 유사거래
서울 강서구 화곡동,1150010300,연립다세대,전세,2025-09,225000000,0,44.2,3,2015,최근 1~2년 유사거래
서울 강서구 화곡동,1150010300,연립다세대,전세,2025-08,160000000,350000,42.0,4,2016,보증부 월세 사례
서울 강서구 화곡동,1150010300,연립다세대,매매,2025-11,285000000,0,42.0,4,2016,최근 1~2년 유사거래
서울 강서구 화곡동,1150010300,연립다세대,매매,2025-07,292000000,0,44.3,3,2015,최근 1~2년 유사거래
서울 관악구 신림동,1162010200,다가구,전세,2025-12,135000000,0,27.1,2,2004,다가구 선순위 확인 대상
서울 관악구 신림동,1162010200,다가구,전세,2025-08,145000000,0,29.5,3,2006,다가구 선순위 확인 대상
서울 관악구 신림동,1162010200,다가구,매매,2025-10,690000000,0,137.0,0,2004,건물 단위 비교
서울 관악구 신림동,1162010200,다가구,매매,2025-05,735000000,0,151.0,0,2006,건물 단위 비교
서울 송파구 가락동,1171010700,아파트,전세,2025-12,655000000,0,59.8,15,2018,최근 1~2년 유사거래
서울 송파구 가락동,1171010700,아파트,전세,2025-09,642000000,0,59.9,12,2017,최근 1~2년 유사거래
서울 송파구 가락동,1171010700,아파트,매매,2025-11,1140000000,0,59.8,15,2018,최근 1~2년 유사거래
서울 송파구 가락동,1171010700,아파트,매매,2025-08,1115000000,0,59.9,12,2017,최근 1~2년 유사거래
인천 미추홀구 주안동,2817710500,연립다세대,전세,2025-11,118000000,0,39.2,3,2002,위험 예시 비교군
인천 미추홀구 주안동,2817710500,연립다세대,전세,2025-05,126000000,0,41.0,4,2003,위험 예시 비교군
인천 미추홀구 주안동,2817710500,연립다세대,매매,2025-10,168000000,0,39.1,3,2002,위험 예시 비교군
인천 미추홀구 주안동,2817710500,연립다세대,매매,2025-04,176000000,0,41.2,4,2003,위험 예시 비교군
