region,legal_dong_code,housing_type,trade_type,trade_month,price_or_deposit_won,monthly_rent_won,exclusive_area_m2,floor,built_year,normalized_basis,outlier_clip_applied
서울 마포구 아현동,1144010100,오피스텔,전세,202512,265000000,0,29.8,8,2019,"원 단위, 제곱미터 단위, 표준 주택유형, 최근 거래 중심",0
서울 마포구 아현동,1144010100,오피스텔,전세,202510,252000000,0,30.4,11,2018,"원 단위, 제곱미터 단위, 표준 주택유형, 최근 거래 중심",0
서울 마포구 아현동,1144010100,오피스텔,매매,202511,392000000,0,29.8,8,2019,"원 단위, 제곱미터 단위, 표준 주택유형, 최근 거래 중심",0
서울 마포구 아현동,1144010100,오피스텔,매매,202507,381000000,0,30.1,10,2018,"원 단위, 제곱미터 단위, 표준 주택유형, 최근 거래 중심",0
서울 강서구 화곡동,1150010300,연립다세대,전세,202512,218000000,0,42.1,4,2016,"원 단위, 제곱미터 단위, 표준 주택유형, 최근 거래 중심",0
서울 강서구 화곡동,1150010300,연립다세대,전세,202509,225000000,0,44.2,3,2015,"원 단위, 제곱미터 단위, 표준 주택유형, 최근 거래 중심",0
서울 강서구 화곡동,1150010300,연립다세대,전세,202508,160000000,350000,42.0,4,2016,"원 단위, 제곱미터 단위, 표준 주택유형, 최근 거래 중심",0
서울 강서구 화곡동,1150010300,연립다세대,매매,202511,285000000,0,42.0,4,2016,"원 단위, 제곱미터 단위, 표준 주택유형, 최근 거래 중심",0
서울 강서구 화곡동,1150010300,연립다세대,매매,202507,292000000,0,44.3,3,2015,"원 단위, 제곱미터 단위, 표준 주택유형, 최근 거래 중심",0
서울 관악구 신림동,1162010200,다가구,전세,202512,135000000,0,27.1,2,2004,"원 단위, 제곱미터 단위, 표준 주택유형, 최근 거래 중심",0
서울 관악구 신림동,1162010200,다가구,전세,202508,145000000,0,29.5,3,2006,"원 단위, 제곱미터 단위, 표준 주택유형, 최근 거래 중심",0
서울 관악구 신림동,1162010200,다가구,매매,202510,690000000,0,137.0,0,2004,"원 단위, 제곱미터 단위, 표준 주택유형, 최근 거래 중심",0
서울 관악구 신림동,1162010200,다가구,매매,202505,735000000,0,151.0,0,2006,"원 단위, 제곱미터 단위, 표준 주택유형, 최근 거래 중심",0
서울 송파구 가락동,1171010700,아파트,전세,202512,655000000,0,59.8,15,2018,"원 단위, 제곱미터 단위, 표준 주택유형, 최근 거래 중심",0
서울 송파구 가락동,1171010700,아파트,전세,202509,642000000,0,59.9,12,2017,"원 단위, 제곱미터 단위, 표준 주택유형, 최근 거래 중심",0
서울 송파구 가락동,1171010700,아파트,매매,202511,1140000000,0,59.8,15,2018,"원 단위, 제곱미터 단위, 표준 주택유형, 최근 거래 중심",0
서울 송파구 가락동,1171010700,아파트,매매,202508,1115000000,0,59.9,12,2017,"원 단위, 제곱미터 단위, 표준 주택유형, 최근 거래 중심",0
인천 미추홀구 주안동,2817710500,연립다세대,전세,202511,118000000,0,39.2,3,2002,"원 단위, 제곱미터 단위, 표준 주택유형, 최근 거래 중심",0
인천 미추홀구 주안동,2817710500,연립다세대,전세,202505,126000000,0,41.0,4,2003,"원 단위, 제곱미터 단위, 표준 주택유형, 최근 거래 중심",0
인천 미추홀구 주안동,2817710500,연립다세대,매매,202510,168000000,0,39.1,3,2002,"원 단위, 제곱미터 단위, 표준 주택유형, 최근 거래 중심",0
인천 미추홀구 주안동,2817710500,연립다세대,매매,202504,176000000,0,41.2,4,2003,"원 단위, 제곱미터 단위, 표준 주택유형, 최근 거래 중심",0
