address_normalized,road_address,district,main_usage,area_m2,approval_year,violation_flag,building_register_pk
서울특별시 관악구 봉천동 ,,관악구,,589.58,2001.0,False,1022133575
서울특별시 관악구 봉천동 1-52번지,서울특별시 관악구 청림3마길 28-8 (봉천동),관악구,,144.39,1991.0,False,1022129397
서울특별시 관악구 봉천동 1-58번지,서울특별시 관악구 청림3다길 29 (봉천동),관악구,,149.85,1992.0,False,1022110054
서울특별시 관악구 봉천동 1-61번지,서울특별시 관악구 관악로 294-6 (봉천동),관악구,,147.24,1990.0,False,1022119375
서울특별시 관악구 봉천동 1-65번지,서울특별시 관악구 청림3다길 9 (봉천동),관악구,,156.51,2002.0,False,102215324
서울특별시 관악구 봉천동 1-67번지,서울특별시 관악구 청림3마길 9 (봉천동),관악구,,148.77,1992.0,False,1022122276
서울특별시 관악구 봉천동 1-69번지,서울특별시 관악구 청림3길 49 (봉천동),관악구,,1052.55,1995.0,False,1022129111
서울특별시 관악구 봉천동 1-70번지,서울특별시 관악구 청림3다길 12 (봉천동),관악구,,537.77,2003.0,False,1022134012
서울특별시 관악구 봉천동 1-72번지,서울특별시 관악구 청림3다길 8 (봉천동),관악구,,248.85,1986.0,False,1022115157
서울특별시 관악구 봉천동 1-74번지,서울특별시 관악구 청림3길 43 (봉천동),관악구,,215.07,1984.0,False,1022133248
서울특별시 관악구 봉천동 1-76번지,서울특별시 관악구 청림3길 40 (봉천동),관악구,,1180.35,1984.0,False,1022123110
서울특별시 관악구 봉천동 1-80번지,서울특별시 관악구 청림3가길 1 (봉천동),관악구,,163.32,1985.0,False,1022128637
서울특별시 관악구 봉천동 1-81번지,서울특별시 관악구 청림3길 34-3 (봉천동),관악구,,38.5,1985.0,False,1022112712
서울특별시 관악구 봉천동 1-82번지,서울특별시 관악구 청림3길 36 (봉천동),관악구,,73.55,1970.0,False,1022111832
서울특별시 관악구 봉천동 1-84번지,서울특별시 관악구 청림3길 33 (봉천동),관악구,,206.46,1990.0,False,1022120003
서울특별시 관악구 봉천동 1-85번지,서울특별시 관악구 청림3길 37 (봉천동),관악구,,778.24,2002.0,False,1022124461
