law_dong_code,sigungu_code,district,dong,address,lot_no,road_name,building_name,housing_type,transaction_ym,area_m2,floor,built_year,source_file,transaction_type,price
1150010400,11500,강서구,가양동,서울특별시 강서구 가양동,2**,강서로,,다가구,2025-11,76.5,0,2015.0,(서울)(251017-251116)단독다가구(매매)_실거래가_20260517222518.csv,매매,1180000000
1150010400,11500,강서구,가양동,서울특별시 강서구 가양동,2**,강서로,,다가구,2025-11,76.5,0,2015.0,(서울)(251017-251116)단독다가구(매매)_실거래가_20260517222518.csv,매매,1180000000
1150010400,11500,강서구,가양동,서울특별시 강서구 가양동,1**,양천로,,다가구,2026-03,42.98,0,2026.0,(서울)(260317-260416)단독다가구(매매)_실거래가_20260517222623.csv,매매,2860000000
1150010400,11500,강서구,가양동,서울특별시 강서구 가양동,1485,허준로 175,가양6단지,아파트,2025-05,39.6,13,1992.0,(서울)(250517-250616)아파트(매매)_실거래가_20260517220541.csv,매매,640000000
1150010400,11500,강서구,가양동,서울특별시 강서구 가양동,1475,허준로 139,강변,아파트,2025-05,39.6,3,1992.0,(서울)(250517-250616)아파트(매매)_실거래가_20260517220541.csv,매매,587500000
1150010400,11500,강서구,가양동,서울특별시 강서구 가양동,448-1,양천로 507,가양강나루현대,아파트,2025-05,59.76,20,1999.0,(서울)(250517-250616)아파트(매매)_실거래가_20260517220541.csv,매매,890000000
1150010400,11500,강서구,가양동,서울특별시 강서구 가양동,1475,허준로 139,강변,아파트,2025-05,39.6,7,1992.0,(서울)(250517-250616)아파트(매매)_실거래가_20260517220541.csv,매매,625000000
1150010400,11500,강서구,가양동,서울특별시 강서구 가양동,1474,허준로 121,대림경동아파트,아파트,2025-05,131.4,15,1993.0,(서울)(250517-250616)아파트(매매)_실거래가_20260517220541.csv,매매,1200000000
1150010400,11500,강서구,가양동,서울특별시 강서구 가양동,1490,허준로 234,가양도시개발9-2단지,아파트,2025-05,34.44,5,1993.0,(서울)(250517-250616)아파트(매매)_실거래가_20260517220541.csv,매매,507500000
1150010400,11500,강서구,가양동,서울특별시 강서구 가양동,1461,허준로 47,가양2단지(성지),아파트,2025-05,34.69,13,1992.0,(서울)(250517-250616)아파트(매매)_실거래가_20260517220541.csv,매매,535000000
